symbol,underlying,expiration,option_type,strike,bid,ask,bid_size,ask_size,quote_ts,delta,gamma,theta,vega,implied_volatility,last_trade_price,day_volume
QQQ260903C00715000,QQQ,2026-09-03,call,715,5.96,6.07,5,5,2026-08-28T19:59:59Z,0.5552,0.0307,-0.4633,0.3628,0.1404,5.83,496
QQQ260903C00716000,QQQ,2026-09-03,call,716,5.35,5.44,26,15,2026-08-28T19:59:59Z,0.5247,0.0314,-0.4572,0.3657,0.1380,5.28,957
QQQ260903C00717000,QQQ,2026-09-03,call,717,4.88,4.92,21,5,2026-08-28T19:59:59Z,0.4932,0.0314,-0.4563,0.3663,0.1381,4.76,520
QQQ260903C00718000,QQQ,2026-09-03,call,718,4.19,4.26,4,8,2026-08-28T19:59:59Z,0.4600,0.0326,-0.4349,0.3645,0.1325,4.19,382
QQQ260903C00719000,QQQ,2026-09-03,call,719,3.73,3.82,7,3,2026-08-28T19:59:59Z,0.4274,0.0323,-0.4268,0.3603,0.1322,3.77,929
QQQ260903C00720000,QQQ,2026-09-03,call,720,3.34,3.37,21,5,2026-08-28T19:59:59Z,0.3952,0.0318,-0.4160,0.3536,0.1317,3.29,4254
QQQ260903C00721000,QQQ,2026-09-03,call,721,2.87,2.92,1,3,2026-08-28T19:59:59Z,0.3612,0.0316,-0.3957,0.3440,0.1292,2.80,412
QQQ260903C00722000,QQQ,2026-09-03,call,722,2.49,2.61,3,15,2026-08-28T19:59:59Z,0.3302,0.0306,-0.3809,0.3326,0.1290,2.49,357
QQQ260903C00723000,QQQ,2026-09-03,call,723,2.13,2.26,22,1,2026-08-28T19:59:59Z,0.2983,0.0296,-0.3596,0.3185,0.1276,2.13,383
QQQ260903C00724000,QQQ,2026-09-03,call,724,1.86,1.93,25,3,2026-08-28T19:59:59Z,0.2685,0.0283,-0.3391,0.3028,0.1269,1.86,442
QQQ260903C00725000,QQQ,2026-09-03,call,725,1.57,1.58,33,18,2026-08-28T19:59:59Z,0.2369,0.0270,-0.3105,0.2834,0.1244,1.58,591
QQQ260903C00726000,QQQ,2026-09-03,call,726,1.31,1.34,40,15,2026-08-28T19:59:59Z,0.2088,0.0254,-0.2856,0.2638,0.1232,1.27,345
QQQ260903C00727000,QQQ,2026-09-03,call,727,1.08,1.15,3,8,2026-08-28T19:59:59Z,0.1832,0.0236,-0.2616,0.2437,0.1225,1.09,129
QQQ260903C00728000,QQQ,2026-09-03,call,728,0.89,0.94,34,3,2026-08-28T19:59:59Z,0.1580,0.0217,-0.2347,0.2216,0.1211,0.84,232
QQQ260903C00729000,QQQ,2026-09-03,call,729,0.67,0.73,29,26,2026-08-28T19:59:59Z,0.1303,0.0196,-0.1997,0.1946,0.1175,0.71,286
QQQ260903C00730000,QQQ,2026-09-03,call,730,0.57,0.61,69,33,2026-08-28T19:59:59Z,0.1129,0.0177,-0.1809,0.1759,0.1179,0.56,1577
QQQ260903P00704000,QQQ,2026-09-03,put,704,1.39,1.40,34,10,2026-08-28T19:59:59Z,-0.1808,0.0187,-0.3575,0.2206,0.1680,1.56,513
QQQ260903P00705000,QQQ,2026-09-03,put,705,1.54,1.55,15,6,2026-08-28T19:59:59Z,-0.1977,0.0200,-0.3727,0.2331,0.1660,1.63,287
QQQ260903P00706000,QQQ,2026-09-03,put,706,1.71,1.76,16,2,2026-08-28T19:59:59Z,-0.2173,0.0213,-0.3912,0.2465,0.1650,1.80,86
QQQ260903P00707000,QQQ,2026-09-03,put,707,1.87,1.93,6,26,2026-08-28T19:59:59Z,-0.2360,0.0226,-0.4023,0.2582,0.1624,1.95,165
QQQ260903P00708000,QQQ,2026-09-03,put,708,2.06,2.15,18,12,2026-08-28T19:59:59Z,-0.2572,0.0240,-0.4157,0.2704,0.1606,2.18,60
QQQ260903P00709000,QQQ,2026-09-03,put,709,2.35,2.43,30,9,2026-08-28T19:59:59Z,-0.2824,0.0251,-0.4357,0.2834,0.1609,2.42,129
QQQ260903P00710000,QQQ,2026-09-03,put,710,2.54,2.68,3,57,2026-08-28T19:59:59Z,-0.3053,0.0264,-0.4426,0.2938,0.1581,2.70,1101
QQQ260903P00711000,QQQ,2026-09-03,put,711,2.88,2.92,12,29,2026-08-28T19:59:59Z,-0.3313,0.0276,-0.4535,0.3041,0.1570,3.00,54
QQQ260903P00712000,QQQ,2026-09-03,put,712,3.21,3.30,13,8,2026-08-28T19:59:59Z,-0.3596,0.0284,-0.4665,0.3135,0.1571,3.28,374
QQQ260903P00713000,QQQ,2026-09-03,put,713,3.44,3.52,13,23,2026-08-28T19:59:59Z,-0.3853,0.0300,-0.4601,0.3205,0.1522,3.64,198
QQQ260903P00714000,QQQ,2026-09-03,put,714,3.90,3.96,11,11,2026-08-28T19:59:59Z,-0.4163,0.0303,-0.4721,0.3270,0.1535,3.98,106
QQQ260903P00715000,QQQ,2026-09-03,put,715,4.25,4.33,7,80,2026-08-28T19:59:59Z,-0.4462,0.0312,-0.4688,0.3314,0.1512,4.35,1466
QQQ260903P00716000,QQQ,2026-09-03,put,716,4.73,4.82,21,6,2026-08-28T19:59:59Z,-0.4776,0.0313,-0.4719,0.3339,0.1517,4.76,543
QQQ260903P00717000,QQQ,2026-09-03,put,717,5.05,5.27,15,5,2026-08-28T19:59:59Z,-0.5093,0.0321,-0.4588,0.3343,0.1482,5.17,432
QQQ260903P00718000,QQQ,2026-09-03,put,718,5.52,5.69,5,11,2026-08-28T19:59:59Z,-0.5422,0.0325,-0.4451,0.3326,0.1456,5.67,362
QQQ260903P00719000,QQQ,2026-09-03,put,719,6.00,6.20,2,20,2026-08-28T19:59:59Z,-0.5756,0.0326,-0.4296,0.3284,0.1435,6.23,384
QQQ260903P00720000,QQQ,2026-09-03,put,720,6.74,6.84,49,13,2026-08-28T19:59:59Z,-0.6055,0.0314,-0.4284,0.3227,0.1463,6.85,901
QQQ260903P00721000,QQQ,2026-09-03,put,721,7.15,7.41,13,13,2026-08-28T19:59:59Z,-0.6406,0.0314,-0.3987,0.3135,0.1420,7.39,694
QQQ260903P00722000,QQQ,2026-09-03,put,722,7.81,7.86,16,6,2026-08-28T19:59:59Z,-0.6755,0.0310,-0.3686,0.3015,0.1384,7.97,507
